"LocationKey","CityName","TimePeriod"
"1","barcelona","weekdays"
"2","rome","weekends"
"3","london","weekends"
"4","vienna","weekdays"
"5","amsterdam","weekends"
"6","barcelona","weekends"
"7","rome","weekdays"
"8","paris","weekdays"
"9","lisbon","weekends"
"10","athens","weekends"
"11","budapest","weekdays"
"12","athens","weekdays"
"13","london","weekdays"
"14","amsterdam","weekdays"
"15","budapest","weekends"
"16","vienna","weekends"
"17","berlin","weekdays"
"18","berlin","weekends"
"19","lisbon","weekdays"
"20","paris","weekends"
